先生，早，歡迎光臨本店。 三。,您好，總共兩位。 零。
是的，我知道，我非常喜歡它，我買下了。 零。,好的，給您發票。 二。
好的，給您發票。 二。,這個手機的保修期是多長時間？ 四。
這個手機的保修期是多長時間？ 四。,七天內保退，一年內保換。 零。
你好，想要些什麽？ 九。,來一份日式茶點。 零。
來一份日式茶點。 零。,好的，請稍等。 零。
不好意思，我想要買單。 九。,好的，請你到櫃台結賬哦。 零。
你好，我想吃點東西。 零。,好的，請問要什麽呢？ 九。
好的，請問要什麽呢？ 九。,你們這有什麽推薦的？ 四。
你們這有什麽推薦的？ 四。,咖啡跟蛋糕都很好吃哦。 九。
咖啡跟蛋糕都很好吃哦。 九。,好的，那來一份黑咖啡和起司蛋糕。 零。
好的，那來一份黑咖啡和起司蛋糕。 零。,好的。一杯黑咖啡和起司蛋糕對嗎？ 九。
好的。一杯黑咖啡和起司蛋糕對嗎？ 九。,沒錯。 零。
沒錯。 零。,好的。請稍等。餐點會盡快為你送到。 零。
不好意思，我想要結賬。 九。,好的，請你到櫃台結賬哦。 零。
你好，請問有空位嗎？ 八。,你們一共多少人？ 八。
你們一共多少人？ 八。,二位。 零。
二位。 零。,有的，讓我來為您帶位。 零。
不好意思，可以幫我清理一下桌面嗎？ 四。,好的。待會兒會有服務員為你服務。 零。
好的。待會兒會有服務員為你服務。 零。,謝謝。 零。
你好，請問有位置嗎？ 四。,請問你們一共幾位？ 八。
請問你們一共幾位？ 八。,四位。 零。
四位。 零。,不好意思，要等一下哦，服務員已經在為您整理桌面了。 零。
不好意思，要等一下哦，服務員已經在為您整理桌面了。 零。,好的，謝謝。 零。
請問有什麽可以為您服務的嗎？ 九。,我要一份大麥克。 零。
我要一份大麥克。 零。,不好意思，我們這裏沒有賣這東西。 零。
不好意思，我們這裏沒有賣這東西。 零。,那你推薦什麽？ 零。
那你推薦什麽？ 零。,我們的黑咖啡很不錯的。起司蛋糕也很美味。 九。
我們的黑咖啡很不錯的。起司蛋糕也很美味。 九。,那來一份起司蛋糕。 零。
那來一份起司蛋糕。 零。,好的，一份起司蛋糕對嗎。 九。
好的，一份起司蛋糕對嗎。 九。,對！ 零。
對！ 零。,好的。請稍等。餐點會盡快為你送到。 零。
您要什麽飲料嗎？ 九。,好啊，我要一杯冰茶。 零。
好啊，我要一杯冰茶。 零。,好的，我很快會把您的飲料和沙拉送來。 零。
好的，我很快會把您的飲料和沙拉送來。 零。,謝謝。 零。
你好，有什麽可以為您服務的嗎？ 九。,這邊空調溫度太高了，幫我調低幾度好嗎？ 零。
這邊空調溫度太高了，幫我調低幾度好嗎？ 零。,好的。 零。
你好，我覺得有點熱，可以把冷氣調低幾度嗎？ 四。,好的，請稍等。 零。
請問先生想吃點什麼？ 九。,來點你最推薦的。 零。
來點你最推薦的。 零。,我推薦黑森林蛋糕。 九。
我推薦黑森林蛋糕。 九。,好，來一份黑森林蛋糕。 零。
好，來一份黑森林蛋糕。 零。,請稍等。 零。
服務員，能過來一下嗎？ 四。,好的，有什麽問題嗎？ 四。
好的，有什麽問題嗎？ 四。,恐怕你搞錯了，這不是我點的菜。 五。
恐怕你搞錯了，這不是我點的菜。 五。,非常抱歉，一定是我搞混點菜單了，我去查一下。 六。
非常抱歉，一定是我搞混點菜單了，我去查一下。 六。,還有，這碗湯也是涼的。 五。
還有，這碗湯也是涼的。 五。,實在對不起，我馬上給您換一碗熱湯來。 六。
你好，有什麽可以為您服務的嗎？四 。。,我要結賬。 九。
我要結賬。 九。,好的，請你到櫃台結賬哦。 零。
你好，需要什麽東西？ 九。,我要一杯卡布奇諾，不要糖。 零。
我要一杯卡布奇諾，不要糖。 零。,好的，一杯卡布奇諾不要糖對嗎？ 九。
好的，一杯卡布奇諾不要糖對嗎？ 九。,對的。 零。
對的。 零。,好的馬上來。 零。
你好。 零。,你好。 零。
早上好。 零。,祝你有個美好的一天。 零。
晚上好。 零。,祝你有個美好的夜晚。 零。
你好啊。 零。,你好。 零。
我有訂位。 八。,請問尊姓大名？ 八。
請問尊姓大名？ 八。,我姓林。 零。
我姓林。 零。,好的，將為你帶位。 零。
你好，想要些什麽？ 九。,來點你最推薦的。 零。
來點你最推薦的。 零。,我推薦卡布其諾。 九。
我推薦卡布其諾。 九。,好，來一杯卡布奇諾。 零。
好，來一杯卡布奇諾。 零。,請問要冰的還是熱的呢？ 九。
請問要冰的還是熱的呢？ 九。,熱的。 零。
熱的。 零。,好的，一杯熱的卡布奇諾對嗎？ 九。
好的，一杯熱的卡布奇諾對嗎？ 九。,對。 零。
對。 零。,好的，請稍等。 零。
你們這裏有什麽好吃的？ 四。,我推薦起司蛋糕。 九。
我推薦起司蛋糕。 九。,好。有需要飲料嗎？ 九。
好。有需要飲料嗎？ 九。,你推薦什麽？ 四。
你推薦什麽？ 四。,本店的黑咖啡很好喝。 九。
本店的黑咖啡很好喝。 九。,那就一杯黑咖啡。 零。
那就一杯黑咖啡。 零。,好的。請稍等。餐點會盡快為你送到。 零。
你好，我想要點餐。 零。,請問今天想要什麽呢？ 九。
請問今天想要什麽呢？ 九。,一杯美式咖啡。 零。
一杯美式咖啡。 零。,請問要外帶還是內用呢？ 九。
請問要外帶還是內用呢？ 九。,外帶。 零。
外帶。 零。,好的。一杯美式咖啡對嗎？ 九。
好的。一杯美式咖啡對嗎？ 九。,對。 零。
對。 零。,好的。請在旁邊稍等一下。 九。
你好，想要些什麽？ 九。,一份起司蛋糕外帶。 零。
一份起司蛋糕外帶。 零。,好的，一份起司蛋糕外帶對嗎。 九。
好的，一份起司蛋糕外帶對嗎。 九。,對的。 零。
對的。 零。,好的。請在旁邊稍等一下。 九。
請問有預約嗎？ 四。,沒有。 零。
沒有。 零。,那可能需要等兩個小時哦。 零。
那可能需要等兩個小時哦。 零。,那算了。 零。
那算了。 零。,好的。 零。
你好，想要些什麽？ 九。,來一份黑森林蛋糕。 零。
來一份黑森林蛋糕。 零。,不好意思，黑森林蛋糕賣完了。 零。
不好意思，黑森林蛋糕賣完了。 零。,那有什麽其他的選擇嗎？ 九。
那有什麽其他的選擇嗎？ 九。,我們的草莓蛋糕很好吃的。 九。
我們的草莓蛋糕很好吃的。 九。,那來一份草莓蛋糕。 零。
那來一份草莓蛋糕。 零。,好的。餐點將盡快為你送到。 零。
德維，你有沒有想過周五去哪兒吃晚飯？ 零。,我不確定。我不知道這附近有很多餐館。 零。
我不確定。我不知道這附近有很多餐館。 零。,您知道，我們可以在線查看本地互聯網站點。 零。
您知道，我們可以在線查看本地互聯網站點。 零。,好的。讓我們來看看！ 三。
好的。讓我們來看看！ 三。,你的生日會有什麽樣的食物？ 四。
你的生日會有什麽樣的食物？ 四。,我最喜歡泰國菜或日本菜。 零。
我最喜歡泰國菜或日本菜。 零。,這一個，幕府將軍，看起來不錯。 零。
這一個，幕府將軍，看起來不錯。 零。,哦，是的，我聽說過那一個。我與之交談過的每個人都說很棒！ 零。
哦，是的，我聽說過那一個。我與之交談過的每個人都說很棒！ 零。,你想去那兒嗎？ 四。
你想去那兒嗎？ 四。,我認為這將是一個非常好的選擇！我們打電話預約。 八。
德維，你有什麽偏好你想去哪兒吃晚飯嗎？ 四。,我真的不知道自己想去哪裏。我在想某家餐館時遇到了麻煩。 六。
我真的不知道自己想去哪裏。我在想某家餐館時遇到了麻煩。 六。,報紙周末有一個很棒的餐廳目錄。 零。
報紙周末有一個很棒的餐廳目錄。 零。,好的，我們可以看一下。 二。
好的，我們可以看一下。 二。,你有特定類型的食物嗎？ 四。
你有特定類型的食物嗎？ 四。,我真的很喜歡日本料理或泰國料理。 零。
那家日本餐廳Shogun得到了很好的評價。 零。,哦，是的！我在電視上看到了那家餐館的評論。評論家喜歡它！ 零。
哦，是的！我在電視上看到了那家餐館的評論。評論家喜歡它！ 零。,這可能是你想去生日的地方嗎？ 零。
這可能是你想去生日的地方嗎？ 零。,那會很棒！我們為什麽不打電話預訂呢？ 八。
德維，你有一個最喜歡的地方，你想去生日晚餐嗎？ 二。,我現在有點不知所措，想到一些特別的地方。 零。
我現在有點不知所措，想到一些特別的地方。 零。,我在這裏有一本很棒的當地餐館指南。 零。
我在這裏有一本很棒的當地餐館指南。 零。,那將是個好看的地方。 二。
那將是個好看的地方。 二。,你最喜歡的餐館食物是什麽？ 零。
你最喜歡的餐館食物是什麽？ 零。,我喜歡很多東西，但泰國或日本人會很好。 零。
我喜歡很多東西，但泰國或日本人會很好。 零。,幕府將軍看起來很不錯！ 零。
幕府將軍看起來很不錯！ 零。,哦，我記得那家餐館。我幾年前去過那裏。我真的很喜歡它！ 零。
哦，我記得那家餐館。我幾年前去過那裏。我真的很喜歡它！ 零。,那對你的生日晚餐來說是個不錯的選擇嗎？ 四。
那對你的生日晚餐來說是個不錯的選擇嗎？ 四。,我很樂意去那裏。讓我們提前打電話確保我們可以在那晚獲得一張桌子。 八。
幕府餐廳。 零。,嗨，我想預訂晚餐。 八。
嗨，我想預訂晚餐。 八。,當然，你什麽時候加入我們？ 八。
當然，你什麽時候加入我們？ 八。,我們需要在周二晚上預訂。 零。
我們需要在周二晚上預訂。 零。,您希望什麽時候預訂？ 八。
我們寧願7:00或7:30。 零。,您需要預訂多少人？ 八。
您需要預訂多少人？ 八。,我們四個人。 零。
我們四個人。 零。,好的，如果你願意告訴我你的名字，我可以在星期二早上7點為你安排。 零。
好的，如果你願意告訴我你的名字，我可以在星期二早上7點為你安排。 零。,謝謝。姓氏是福斯特。 零。
謝謝。姓氏是福斯特。 零。,福斯特先生，本周二7點見。 二。
福斯特先生，本周二7點見。 二。,非常感謝你。我感謝您的幫助。 一。
這是Shogun餐廳。 零。,您好，我需要預訂晚餐。 八。
您好，我需要預訂晚餐。 八。,你能告訴我你將來的晚上嗎？ 八。
你能告訴我你將來的晚上嗎？ 八。,我們將在周二晚上來你的餐廳。 零。
我們將在周二晚上來你的餐廳。 零。,你什麽時候和我們一起用餐？ 八。
我們的第一選擇是7:00，或者7:30。 八。,你們派對中有多少客人？ 八。
你們派對中有多少客人？ 八。,我們四個人會來。 零。
我們四個人會來。 零。,請給我你的名字，星期二早上7點，我們將為您準備一張桌子！ 零。
請給我你的名字，星期二早上7點，我們將為您準備一張桌子！ 零。,好極了！我們的姓是福斯特。 零。
好極了！我們的姓是福斯特。 零。,謝謝福斯特先生，請於本周二7點見。 零。
謝謝福斯特先生，請於本周二7點見。 零。,我期待在你的餐廳吃飯。感謝您的幫助。 零。
帕薩迪納的幕府餐廳。 零。,嗨，你能幫幫我嗎？我需要預訂晚餐。 八。
嗨，你能幫幫我嗎？我需要預訂晚餐。 八。,如果你能告訴我你喜歡預訂的晚上，我可以幫到你。 零。
如果你能告訴我你喜歡預訂的晚上，我可以幫到你。 零。,周二晚上是我們需要預訂的時間。 八。
周二晚上是我們需要預訂的時間。 八。,你認為你想吃晚飯的時間是幾點？ 八。
7：00是最好的，也可能是7:30。 零。,你的小組中有多少食客？ 八。
你的小組中有多少食客？ 八。,我們需要四個人的預訂。 零。
我們需要四個人的預訂。 零。,如果你能給我你的名字，我在7點就有一張四人餐桌。 八。
如果你能給我你的名字，我在7點就有一張四人餐桌。 八。,我的姓是福斯特。 零。
謝謝你的預訂。福斯特先生，我們將在本周二的7:00期待你。 零。,我們會在那裏！謝謝您的幫助！ 零。
晚上好，先生，歡迎來到Chez Attitude。 零。,我們在7點以福斯特的名義預訂四人晚餐。 零。
我們在7點以福斯特的名義預訂四人晚餐。 零。,是的，福斯特先生，如果你願意坐在等候區，我們的女主人會在一瞬間和你在一起。 零。
是的，福斯特先生，如果你願意坐在等候區，我們的女主人會在一瞬間和你在一起。 零。,謝謝。如果我們在等待時喝一杯雞尾酒會沒關系嗎？ 零。
謝謝。如果我們在等待時喝一杯雞尾酒會沒關系嗎？ 零。,當然，我會告訴她的。 二。
當然，我會告訴她的。 二。,我真的更喜歡外面的桌子。那有可能嗎？ 四。
我真的更喜歡外面的桌子。那有可能嗎？ 四。,當然，如果你想要其中一張桌子，我可以馬上就座。 零。
當然，如果你想要其中一張桌子，我可以馬上就座。 零。,當然，那太好了！謝謝！ 一。
當然，那太好了！謝謝！ 一。,這是您的菜單和葡萄酒菜單，您想現在訂購飲料嗎？ 九。
這是您的菜單和葡萄酒菜單，您想現在訂購飲料嗎？ 九。,是的，我想要伏特加手鐲。 九。
是的，我想要伏特加手鐲。 九。,先生，沒問題，先生。 三。
先生，沒問題，先生。 三。,非常感謝。 一。
歡迎來到我們的餐廳，Chez Attitude！ 零。,我們的預訂是福斯特的名字，時間是7點，四人。 零。
我們的預訂是福斯特的名字，時間是7點，四人。 零。,是的，福斯特先生，我們的女主人會在一會兒和你在一起。 零。
是的，福斯特先生，我們的女主人會在一會兒和你在一起。 零。,在我們等待的時候，我們想先品嘗一杯雞尾酒。當你的桌子準備好時，你能告訴女主人請來告訴我們嗎？ 零。
在我們等待的時候，我們想先品嘗一杯雞尾酒。當你的桌子準備好時，你能告訴女主人請來告訴我們嗎？ 零。,我會讓她知道你在哪裏。 零。
我會讓她知道你在哪裏。 零。,露台桌看起來很不錯。我們能坐在那兒嗎？ 四。
露台桌看起來很不錯。我們能坐在那兒嗎？ 四。,如果你願意，我可以馬上把你安排在外面的桌子上。 二。
如果你願意，我可以馬上把你安排在外面的桌子上。 二。,謝謝！我們會坐在那裏。我們將在那裏點飲料。 零。
謝謝！我們會坐在那裏。我們將在那裏點飲料。 零。,在看菜單的時候，我可以帶些雞尾酒開始嗎？ 零。
是的，你為什麽不給我們帶一瓶Chablis一瓶四杯開始？ 四。,我馬上就開始吧！ 零。
我馬上就開始吧！ 零。,我們感謝你的幫助。 零。
感謝您今晚在Chez Attitude加入我們。 零。,我是福斯特先生，我們今晚有7人晚餐預訂4人。 零。
我是福斯特先生，我們今晚有7人晚餐預訂4人。 零。,歡迎，福斯特先生，如果你在休息區有座位，我們的女主人會準備好讓你坐下來。 零。
歡迎，福斯特先生，如果你在休息區有座位，我們的女主人會準備好讓你坐下來。 零。,等我們準備喝一杯。請女主人知道她可以在那裏找到我們。 零。
等我們準備喝一杯。請女主人知道她可以在那裏找到我們。 零。,當你準備桌子時，她會來告訴你。 零。
當你準備桌子時，她會來告訴你。 零。,那些露台是新的，不是嗎？可以坐在那裏嗎？ 四。
那些露台是新的，不是嗎？可以坐在那裏嗎？ 四。,如果您想立即就座，可以使用外面的桌子。 二。
如果您想立即就座，可以使用外面的桌子。 二。,我們很樂意坐在外面。謝謝你的幫助！ 二。
我們很樂意坐在外面。謝謝你的幫助！ 二。,這是你的餐桌，現在我可以在你考慮吃晚餐的時候喝點飲料嗎？ 九。
這是你的餐桌，現在我可以在你考慮吃晚餐的時候喝點飲料嗎？ 九。,是的，在我們弄清楚我們的晚餐訂單時，你能給我們帶一罐瑪格麗塔酒和四杯啤酒嗎？ 九。
是的，在我們弄清楚我們的晚餐訂單時，你能給我們帶一罐瑪格麗塔酒和四杯啤酒嗎？ 九。,我會把你的飲料訂單放進去，然後回來接受你的晚餐訂單。 九。
我會把你的飲料訂單放進去，然後回來接受你的晚餐訂單。 九。,當你回來的時候我們會準備好訂購！ 二。
我可以開始喝任何東西嗎？ 九。,是的，請問我有水嗎？ 四。
是的，請問我有水嗎？ 四。,當然，你今天想要任何開胃菜嗎？ 九。
當然，你今天想要任何開胃菜嗎？ 九。,我可以訂購燒烤翅膀嗎？ 四。
我可以訂購燒烤翅膀嗎？ 四。,沒問題，我可以告訴你什麽嗎？ 九。
沒問題，我可以告訴你什麽嗎？ 九。,不，謝謝，現在一切都好。 零。
不，謝謝，現在一切都好。 零。,當你準備訂購食物時，請告訴我。 零。
當你準備訂購食物時，請告訴我。 零。,我準備好了。 零。
我準備好了。 零。,我能得到什麽？ 四。
我可以買到阿爾弗雷多的fettuccini嗎？ 零。,這就是全部嗎？ 九。
這就是全部嗎？ 九。,是的，就是這樣。 零。
我可以喝點什麽嗎？ 零。,好的，拜托。我可以來一杯檸檬水嗎？ 四。
好的，拜托。我可以來一杯檸檬水嗎？ 四。,你想開胃菜嗎？ 九。
你想開胃菜嗎？ 九。,我可以訂購燒烤翅膀嗎？ 九。
我可以訂購燒烤翅膀嗎？ 九。,當然，你還想要別的嗎？ 九。
當然，你還想要別的嗎？ 九。,現在好了，謝謝。 一。
現在好了，謝謝。 一。,當你想要訂購剩下的食物時告訴我。 零。
當你想要訂購剩下的食物時告訴我。 零。,對不起。我已準備好訂購。 零。
對不起。我已準備好訂購。 零。,你想要什麽？ 九。
你想要什麽？ 九。,讓我有嬰兒背肋骨。 九。
讓我有嬰兒背肋骨。 九。,當然，還有什麽我可以幫你的嗎？ 九。
當然，還有什麽我可以幫你的嗎？ 九。,現在就是這樣。 一。
我可以喝點什麽嗎？ 九。,好的，拜托。我可以來一杯檸檬水嗎？ 九。
好的，拜托。我可以來一杯檸檬水嗎？ 九。,你想開胃菜嗎？ 九。
你想開胃菜嗎？ 九。,我可以訂購燒烤翅膀嗎？ 九。
我可以訂購燒烤翅膀嗎？ 九。,當然，你還想要別的嗎？ 九。
當然，你還想要別的嗎？ 九。,現在好了，謝謝。 零。
現在好了，謝謝。 零。,當你想要訂購剩下的食物時告訴我。 零。
當你想要訂購剩下的食物時告訴我。 零。,對不起。我已準備好訂購。 零。
對不起。我已準備好訂購。 零。,你想要什麽？ 九。
你想要什麽？ 九。,讓我有嬰兒背肋骨。 九。
讓我有嬰兒背肋骨。 九。,當然，還有什麽我可以幫你的嗎？ 九。
當然，還有什麽我可以幫你的嗎？ 九。,現在就是這樣。 零。
我是你的女服務員，瑪麗。 零。,你好，瑪麗。今晚我們都很餓！ 零。
你好，瑪麗。今晚我們都很餓！ 零。,當你在查看菜單時，我可以對開胃菜感興趣嗎？ 九。
當你在查看菜單時，我可以對開胃菜感興趣嗎？ 九。,開胃菜聽起來不錯。你有特別的菜單嗎？ 九。
開胃菜聽起來不錯。你有特別的菜單嗎？ 九。,它們列在菜單的第一頁上。 九。
它們列在菜單的第一頁上。 九。,椰子蝦看起來不錯。你有沒有那個？ 九。
椰子蝦看起來不錯。你有沒有那個？ 九。,是的，非常好！ 零。
是的，非常好！ 零。,好的，我會接受的。 零。
好的，我會接受的。 零。,你想分開那個並選擇另一個開胃菜半價分享嗎？ 零。
你想分開那個並選擇另一個開胃菜半價分享嗎？ 零。,好的。在這種情況下，我們還會接受洋蔥圈的訂單。謝謝！ 二。
我叫瑪麗，今晚我將成為你的女服務員。 零。,謝謝你，瑪麗。我們一直期待著嘗試這家餐廳。 零。
謝謝你，瑪麗。我們一直期待著嘗試這家餐廳。 零。,在你的主菜之前，你想點一份開胃菜嗎？ 九。
在你的主菜之前，你想點一份開胃菜嗎？ 九。,當然，這聽起來很棒。你的開胃菜在哪裏上市？ 九。
當然，這聽起來很棒。你的開胃菜在哪裏上市？ 九。,桌子中央有一個特殊的開胃菜單。 九。
桌子中央有一個特殊的開胃菜單。 九。,雞肉和奶酪玉米餅很好看。那很好嗎？ 九。
雞肉和奶酪玉米餅很好看。那很好嗎？ 九。,你知道，這是我的最愛之一！ 零。
你知道，這是我的最愛之一！ 零。,好的，我會接受一個訂單。 九。
好的，我會接受一個訂單。 九。,你可以選擇另一個開胃菜半價分享。 零。
你可以選擇另一個開胃菜半價分享。 零。,完美！請加上洋蔥圈的訂單。 二。
我叫瑪麗，今天晚上我將成為你的服務員。 零。,嗨瑪麗。我們真的很期待這裏的美食。 零。
嗨瑪麗。我們真的很期待這裏的美食。 零。,開始時我能開胃了嗎？ 九。
開始時我能開胃了嗎？ 九。,我會喜歡開胃菜。它們是否列在菜單中？ 九。
我會喜歡開胃菜。它們是否列在菜單中？ 九。,我們的日常開胃菜列在墻上的那塊板上。 九。
我們的日常開胃菜列在墻上的那塊板上。 九。,我在考慮爆米花蝦。那個怎麽樣？ 九。
我在考慮爆米花蝦。那個怎麽樣？ 九。,那將是一個很好的選擇！ 零。
那將是一個很好的選擇！ 零。,我會相信你的品味並接受一個訂單。 九。
我會相信你的品味並接受一個訂單。 九。,我們有一個特別的地方，您可以半價訂購第二個開胃菜。 零。
我們有一個特別的地方，您可以半價訂購第二個開胃菜。 零。,在這種情況下，我們將首先選擇洋蔥圈。 二。
你有足夠的時間查看菜單嗎？ 九。,是的，我們幾乎準備訂購了。 九。
是的，我們幾乎準備訂購了。 九。,讓我提醒你當天的特價，這些特價都張貼在董事會上。 零。
讓我提醒你當天的特價，這些特價都張貼在董事會上。 零。,哦，這一切聽起來都很棒！我們可以把醬汁放在一邊嗎？ 零。
哦，這一切聽起來都很棒！我們可以把醬汁放在一邊嗎？ 零。,是的，我們很樂意準備食物以滿足您的特殊需求。 零。
是的，我們很樂意準備食物以滿足您的特殊需求。 零。,我想知道你是否有素食選擇。 九。
是的，烤蔬菜沙拉很好，而且portabella蘑菇漢堡也是不錯的選擇。 零。,我想我想點西蘭花面。 九。
我想我想點西蘭花面。 九。,這是一個很好的選擇，我現在可以把你的沙拉帶給你，或帶上你的晚餐。 九。
這是一個很好的選擇，我現在可以把你的沙拉帶給你，或帶上你的晚餐。 九。,請把我們的沙拉給我們。我們都餓了！ 二。
你準備訂購了嗎？ 九。,我認為我們很想知道我們想訂購什麽。 九。
我認為我們很想知道我們想訂購什麽。 九。,讓我告訴你當天的特色菜，這是帶有刺山柑和烤大蒜蝦的雞汁。 九。
讓我告訴你當天的特色菜，這是帶有刺山柑和烤大蒜蝦的雞汁。 九。,我想知道廚師是否可以放下醬汁。 九。
我想知道廚師是否可以放下醬汁。 九。,廚師很樂意滿足您的特殊要求。 零。
廚師很樂意滿足您的特殊要求。 零。,我是素食主義者。你有素食選擇嗎？ 九。
我是素食主義者。你有素食選擇嗎？ 九。,你可以選擇烤蔬菜和大蒜披薩或山羊奶酪和蜜餞核桃沙拉。 九。
你可以選擇烤蔬菜和大蒜披薩或山羊奶酪和蜜餞核桃沙拉。 九。,我想我們會把烤蔬菜和大蒜披薩分開。 九。
我想我們會把烤蔬菜和大蒜披薩分開。 九。,這是一個很好的選擇，我現在可以帶上你的沙拉或者用你的主菜服務。 九。
這是一個很好的選擇，我現在可以帶上你的沙拉或者用你的主菜服務。 九。,當你把我們的主菜帶給我們時，你可以把我們的沙拉帶給我們。 九。
你現在要訂購嗎？ 九。,這一切看起來都不錯！我想我們知道自己想要什麽。 九。
這一切看起來都不錯！我想我們知道自己想要什麽。 九。,請讓我指出廚師的特色，這是熏黑的鯰魚。 零。
請讓我指出廚師的特色，這是熏黑的鯰魚。 零。,我節食，廚師可以準備沒有額外醬汁的食物嗎？ 九。
我節食，廚師可以準備沒有額外醬汁的食物嗎？ 九。,我們總是很樂意調整我們的烹飪以滿足您的需求。 九。
我們總是很樂意調整我們的烹飪以滿足您的需求。 九。,你能告訴我是否有素食主菜？ 九。
你能告訴我是否有素食主菜？ 九。,腰果西蘭花面條或奶酪和蔬菜辣醬玉米餅餡將是一個很好的選擇。 九。
腰果西蘭花面條或奶酪和蔬菜辣醬玉米餅餡將是一個很好的選擇。 九。,我要去烤蝦醬蒜醬。我想要一邊的蒜醬。 九。
我要去烤蝦醬蒜醬。我想要一邊的蒜醬。 九。,你想要用你的主菜帶給你的沙拉，或者你現在想要它嗎？ 九。
你想要用你的主菜帶給你的沙拉，或者你現在想要它嗎？ 九。,您可以在我們的晚餐中享用我們的沙拉。 零。
在你看菜單的時候，我可以點一下飲料嗎？ 九。,是的，你有酒單嗎？ 九。
是的，你有酒單嗎？ 九。,酒單位於菜單的第二頁。 九。
酒單位於菜單的第二頁。 九。,這家餐館有混合飲料嗎？ 九。
這家餐館有混合飲料嗎？ 九。,是的，我們這裏有一個完整的酒吧。 零。
是的，我們這裏有一個完整的酒吧。 零。,我不確定自己想要什麽。你有特價房子嗎？ 四。
實際上，我們以我們的Cuervo Gold margaritas而聞名。 零。,聽起來不錯！請帶給我其中一個。 九。
聽起來不錯！請帶給我其中一個。 九。,你想要混合飲料還是在巖石上？ 九。
你想要混合飲料還是在巖石上？ 九。,我希望它融為一體。 零。
我希望它融為一體。 零。,你想要鹽還是鹽？ 九。
你想要鹽還是鹽？ 九。,我想要沒有鹽的瑪格麗塔，謝謝。 零。
當你在想什麽時候可以訂購晚餐時，你想訂購飲料嗎？ 九。,你能告訴我你的酒單在哪裏嗎？ 九。
你能告訴我你的酒單在哪裏嗎？ 九。,酒單就是貼在董事會上。 九。
酒單就是貼在董事會上。 九。,我們可以在這家餐廳點一杯混合飲料嗎？ 九。
我們可以在這家餐廳點一杯混合飲料嗎？ 九。,是的，我們的酒吧提供各種混合飲料。 零。
是的，我們的酒吧提供各種混合飲料。 零。,你有可以推薦的房子特價嗎？ 九。
我們最受歡迎的飲品是我們的Cuervo Gold margaritas。 九。,這對我來說聽起來不錯。我可以請一個嗎？ 九。
這對我來說聽起來不錯。我可以請一個嗎？ 九。,我可以把它帶到巖石上，還是你喜歡混合？ 九。
我可以把它帶到巖石上，還是你喜歡混合？ 九。,請把它帶到巖石上。 零。
請把它帶到巖石上。 零。,鹽還是鹽？ 九。
鹽還是鹽？ 九。,我希望它沒有鹽。 零。
我可以點一下飲料嗎？ 九。,你的酒單在哪裏？ 九。
你的酒單在哪裏？ 九。,葡萄酒的選擇張貼在桌子中間的小菜單上。 九。
葡萄酒的選擇張貼在桌子中間的小菜單上。 九。,這裏有混合飲料嗎？ 九。
這裏有混合飲料嗎？ 九。,我們可以在酒吧裏制作一些混合飲料。 零。
我們可以在酒吧裏制作一些混合飲料。 零。,我聽說你以喝酒聞名。你的特色是什麽？ 四。
我們的房子特別是我們的Cuervo Gold margarita。 零。,我現在很喜歡瑪格麗塔！這就是我要訂購的東西。 九。
我現在很喜歡瑪格麗塔！這就是我要訂購的東西。 九。,我可以在巖石上準備你的飲料，還是你喜歡混合飲料？ 九。
我可以在巖石上準備你的飲料，還是你喜歡混合飲料？ 九。,拜托，我更喜歡巖石上的瑪格麗塔酒。 零。
拜托，我更喜歡巖石上的瑪格麗塔酒。 零。,你喜歡加鹽還是不加鹽的瑪格麗塔？ 九。
你喜歡加鹽還是不加鹽的瑪格麗塔？ 九。,請不要加鹽。 零。
你喜歡吃飯嗎？ 四。,是的，我們真的很喜歡它。 零。
是的，我們真的很喜歡它。 零。,我可以在一些甜點中感興趣嗎？ 零。
我可以在一些甜點中感興趣嗎？ 零。,是的，聽起來不錯。 零。
是的，聽起來不錯。 零。,我們有特制的巧克力慕斯蛋糕和香辣朗姆酒蘋果酥。 零。
我們有特制的巧克力慕斯蛋糕和香辣朗姆酒蘋果酥。 零。,蘋果酥脆聽起來很棒。 零。
蘋果酥脆聽起來很棒。 零。,既然有四個人，你想分開第二個甜點嗎？ 九。
既然有四個人，你想分開第二個甜點嗎？ 九。,好建議。你能帶給我們一塊巧克力慕斯蛋糕和四個甜點叉嗎？ 零。
好建議。你能帶給我們一塊巧克力慕斯蛋糕和四個甜點叉嗎？ 零。,你想要點心的咖啡或茶嗎？ 九。
你想要點心的咖啡或茶嗎？ 九。,拜托，我們要喝四杯咖啡。 九。
拜托，我們要喝四杯咖啡。 九。,OK。我將帶著你的甜點和飲料回來。 零。
OK。我將帶著你的甜點和飲料回來。 零。,謝謝！我們真的很享受這裏的美食。 零。
那你的飯怎麽樣？ 四。,我們的飯很棒！ 二。
我們的飯很棒！ 二。,你想和我們一起吃甜點嗎？ 四。
你想和我們一起吃甜點嗎？ 四。,我吃飽了，但也許我們可以分一些甜點。 零。
我吃飽了，但也許我們可以分一些甜點。 零。,今晚的甜點特色包括巧克力慕斯蛋糕和辣朗姆酒蘋果脆。 零。
今晚的甜點特色包括巧克力慕斯蛋糕和辣朗姆酒蘋果脆。 零。,我很喜歡蘋果脆。 零。
我很喜歡蘋果脆。 零。,這是一個不錯的選擇，但是你願意為你們四個人分一杯甜點嗎？ 四。
